コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
1992,2020/03,59.8,5944830000,234538000,20,24.6,0.0,0.0
1994,2020/12,75.9,7367436000,838000000,23,24.15,1.0,3.0
1997,2020/08,58.2,8411043000,1033638000,55,13.79,0.0,1.0
2001,2020/03,52.9,344839000000,11101000000,34,28.33,1.0,9.0
2002,2020/03,59.3,712180000000,28852000000,34,43.78,6.0,8.0
2003,2020/03,74.3,57544000000,4568000000,222,32.27,4.0,5.0
2004,2020/03,49.2,254017000000,8808000000,65,30.19,1.0,9.0
2009,2020/12,81.7,21870000000,736000000,14,61.83,0.0,1.0
2053,2020/03,67.7,183428000000,6020000000,26,16.65,0.0,10.0
2055,2020/03,64.2,41974743000,527986000,6,26,0.0,9.0
2060,2020/03,42.3,215050000000,5414000000,25,23.11,0.0,4.0
2107,2020/03,80.7,13515000000,969000000,50,28.76,1.0,9.0
2108,2020/03,69.4,57021000000,1614000000,50,84.7,1.0,9.0
2109,2020/03,58.4,113854000000,4848000000,50,87.16,0.0,8.0
2112,2020/03,36.3,25659000000,1071000000,5,20.88,0.0,0.0
2114,2020/03,78.9,18958964000,1491233000,11,24.67,0.0,5.0
2117,2020/03,79,47809000000,2858000000,66,70.23,0.0,7.0
2120,2020/09,60.5,35402758000,2497617000,5.29,50.42,0.0,0.0
2121,2020/03,88.8,112171000000,17165000000,110,80.53,0.0,0.0
2122,2020/09,55.4,24880448000,452103000,20,44.55,1.0,8.0
2124,2020/12,76.4,21614000000,5138000000,80,180.1,3.0,4.0
2127,2020/03,81,32009882000,14247322000,26,36.24,9.0,9.0
2130,2020/03,55.6,10607876000,1249603000,14,17.06,8.0,10.0
2136,2020/03,57,5437767000,560200000,24,25.13,0.0,2.0
2138,2020/03,29.8,33995137000,-97479000,-,-,0.0,1.0
2139,2020/03,56.9,6936706000,-54785000,-,-,0.0,0.0
2146,2020/03,41,101191000000,8040000000,-,55.42,0.0,0.0
2148,2020/03,81.4,5278570000,1172203000,12,30.15,2.0,8.0
2150,2020/12,57.8,5304000000,1510000000,8,7.64,0.0,3.0
2151,2020/03,34.1,37713000000,3298000000,20,26.4,0.0,1.0
2152,2020/03,67.3,6729738000,1122633000,15,20.99,1.0,1.0
2153,2020/05,65.2,30394000000,2984000000,25,12.86,2.0,8.0
2154,2020/06,46.2,81755000000,4666000000,40,111.54,7.0,9.0
2156,2020/03,44.6,8217704000,74501000,5,95.17,0.0,0.0
2157,2020/08,51.4,43303711000,1147624000,12,-,0.0,0.0
2158,2020/03,29.1,10470695000,-844443000,-,-,0.0,0.0
2159,2020/04,58.9,21158305000,1074438000,3,6.94,1.0,3.0
2162,2020/03,17.4,62611297000,920437000,5,30.6,2.0,6.0
2163,2021/01,70.5,7174000000,887000000,23,37.22,6.0,6.0
2164,2020/08,8.6,3258466000,-292047000,-,-,1.0,3.0
2168,2020/05,22.7,324984000000,10577000000,19,119.87,2.0,9.0
2169,2020/12,79.1,7900000000,752000000,55,55.11,2.0,9.0
2173,2020/03,28.3,12921275000,645971000,17,21.26,2.0,9.0
2174,2020/12,58.9,21901000000,1760000000,35,168.17,0.0,2.0
2175,2020/03,37.7,35140000000,4935000000,8.5,13.7,0.0,0.0
2176,2020/03,23,2862443000,61801000,-,0,0.0,3.0
2178,2020/02,43.3,50440437000,628195000,7,106.04,0.0,1.0
2179,2020/03,30.3,12220134000,272449000,8.5,179.44,5.0,5.0
2180,2020/06,37.3,14094205000,420829000,2,-,0.0,2.0
2181,2020/03,39.9,970572000000,39085000000,30,92,8.0,9.0
2183,2020/03,37.4,10935241000,1005235000,14,56.12,2.0,5.0
2185,2020/09,77.9,17071139000,1818539000,50,20.56,2.0,9.0
2186,2020/02,71.4,8344072000,633732000,30,53.27,6.0,6.0
2191,2020/12,60.4,76000000,-1387000000,-,-,0.0,0.0
2193,2020/12,88,11095929000,151000000,-,-,,
2195,2020/12,18.8,4608264000,289773000,-,0,0.0,5.0
2196,2020/03,32.2,31430384000,1546777000,16,36.21,0.0,8.0
2198,2020/10,44.1,8746260000,-3981192000,-,-,0.0,9.0
2201,2020/03,55.7,208878000000,21230000000,72,30.68,4.0,9.0
2204,2020/03,60.2,36120900000,-1392955000,85,248.04,0.0,1.0
2206,2020/12,65.2,344048000000,18523000000,65,32.91,1.0,9.0
2207,2020/03,61.7,22995000000,-629000000,22,55.43,0.0,3.0
2208,2020/03,61.1,117551000000,2919000000,23,28.16,6.0,10.0
2209,2020/03,52.2,42309898000,359510000,24,228.17,0.0,10.0
2211,2020/12,67.6,99085000000,2497000000,15,36.9,0.0,5.0
2212,2020/12,46.3,1014741000000,17438000000,22,62.49,0.0,1.0
2216,2020/12,56.5,23321000000,836000000,32,35.19,2.0,6.0
2217,2021/01,69.8,25672000000,751000000,60,49.95,0.0,10.0
2220,2020/03,61.6,103808000000,5813000000,52,24.09,7.0,10.0
2221,2020/03,74.5,22840120000,173524000,26,7,2.0,9.0
2222,2020/03,78.9,45180501000,6454566000,40,30.36,4.0,7.0
2224,2020/03,36.2,6289973000,393793000,7,9.14,0.0,10.0
2226,2020/06,54.9,37739000000,1012000000,45,33.13,0.0,0.0
2229,2020/03,75.9,255938000000,27664000000,50,36.65,1.0,9.0
2230,2020/05,21.1,2044184000,65305000,-,-,0.0,0.0
2264,2020/03,41.6,590892000000,25359000000,60,14.58,3.0,9.0
2266,2020/12,48.7,54948000000,1940000000,20,40.76,0.0,0.0
2267,2020/03,59.5,406004000000,45675000000,46,18.95,2.0,2.0
2268,2020/12,56,17441102000,599924000,30,54.45,0.0,1.0
2269,2020/03,56.3,1252706000000,102708000000,150,31.24,5.0,9.0
2270,2020/03,47.3,613405000000,17998000000,40,22.26,0.0,9.0
2281,2020/03,45.6,418060000000,15636000000,60,34.23,0.0,10.0
2282,2020/03,52.6,1229826000000,43772000000,90,48.2,0.0,1.0
2286,2020/03,26.2,45175612000,988962000,15,15.27,1.0,9.0
2288,2020/03,56.5,245820000000,2617000000,35,53.84,0.0,0.0
2291,2020/03,26.7,25597000000,-536000000,-,-,0.0,8.0
2292,2020/02,46.8,351972000000,10703000000,60,28.2,7.0,10.0
2293,2020/03,26.1,29580101000,-86604000,-,-,0.0,0.0
2294,2020/02,76.2,43937000000,2429000000,75,45.3,3.0,10.0
2296,2020/03,58.5,852450000000,17266000000,17,43.89,0.0,3.0
2300,2020/02,72.9,6618536000,81031000,11,116.19,0.0,4.0
2301,2020/10,91.3,5720004000,1188411000,30,53,6.0,9.0
2303,2020/05,88.1,1050916000,290089000,10,11.89,4.0,7.0
2304,2020/09,45.9,11962668000,-1072244000,5,221.39,0.0,8.0
2305,2020/02,68.2,38879090000,3245168000,50,70.2,0.0,2.0
2307,2020/03,61.1,9674939000,721680000,22,33.12,3.0,9.0
2309,2020/09,26.4,76098000000,2605000000,25,32.69,1.0,3.0
2311,2020/12,79.1,4380000000,441000000,30,61.04,1.0,9.0
2315,2020/10,81.8,6003323000,-679903000,-,-,0.0,5.0
2317,2020/03,63,64552000000,8163000000,20,34.84,4.0,9.0
2323,2020/03,59.8,545411000,5700000,-,-,0.0,9.0
2325,2020/12,78.5,18951000000,2469000000,55,28.62,2.0,2.0
2326,2020/03,79.7,5641805000,2328036000,50,48.3,6.0,10.0
2327,2020/03,62.2,274843000000,28387000000,65,29.59,6.0,10.0
2329,2020/03,77.1,59886000000,2978000000,16,40.69,0.0,0.0
2330,2020/12,28.1,4033481000,-105000000,-,-,0.0,8.0
2331,2020/03,57.3,460118000000,36795000000,70,29.12,7.0,9.0
2332,2020/03,71.6,10314527000,736758000,35,49.81,1.0,3.0
2334,2020/03,80.6,1844098000,26681000,-,-,0.0,0.0
2335,2020/03,69.6,14708096000,959012000,18,63.65,0.0,9.0
2337,2020/02,30.1,87360000000,27721000000,7,41.69,0.0,10.0
2340,2020/03,16.5,14597905000,-348908000,-,-,0.0,9.0
2341,2020/02,88.8,4550251000,190101000,7,105.68,0.0,3.0
2344,2020/03,56.9,9801903000,1758544000,27,28.19,5.0,9.0
2345,2020/10,64.5,1859614000,34872000,6.61,8.98,0.0,4.0
2349,2020/03,71.4,18017074000,1940359000,22,18.83,1.0,9.0
2351,2020/03,67.9,2482778000,25070000,2,64.76,0.0,9.0
2352,2020/03,79.4,1875840000,462511000,23,25.13,9.0,9.0
2353,2020/07,27.4,22979793000,2672776000,4.5,117.72,9.0,9.0
2354,2020/02,33.8,13794354000,585163000,6,28.7,0.0,3.0
2359,2020/03,61,20997367000,1800724000,27,24.09,2.0,6.0
2362,2020/09,32.1,58669207000,5306311000,35,75.1,0.0,9.0
2371,2020/03,67.8,60978000000,27217000000,40,43.21,9.0,9.0
2372,2020/03,47.2,10593000000,1207000000,40,28.4,0.0,9.0
